Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves
241,Albert Sambi Lokonga,0,0,728,8,57.2,98.4,20,17.6,2,0,2,43,MID,Crystal Palace,84.4,
242,Vicente Guaita,0,0,2430,34,0,668.4,0,66.8,6,0,1,44,GK,Crystal Palace,84.4,84
243,James Tomkins,1,0,335,10,1.1,90,54,14.6,0,1,1,39,DEF,Crystal Palace,84.4,
244,James McArthur,0,0,50,0,1.7,6.8,0,0.9,0,0,0,48,MID,Crystal Palace,84.4,
245,Christian Benteke,0,0,0,0,0,0,0,0,0,0,0,55,FWD,Crystal Palace,84.4,
246,Joel Ward,1,0,2253,35,164.3,436.2,114,71.6,8,0,6,44,DEF,Crystal Palace,84.4,
247,Nathaniel Clyne,0,0,1638,23,124.9,203.6,8,33.6,3,0,3,45,DEF,Crystal Palace,84.4,
248,Luka Milivojevic,0,0,500,7,43.6,69.2,17,12.7,2,0,2,42,MID,Crystal Palace,84.4,
249,Jordan Ayew,4,3,2708,41,465.5,490.8,429,138.7,8,0,5,52,MID,Crystal Palace,84.4,
250,Wilfried Zaha,7,2,2289,34,384.8,465.4,848,169.4,5,0,5,72,MID,Crystal Palace,84.4,
251,Jeffrey Schlupp,3,2,2528,38,257.6,404.6,314,97.9,9,0,7,47,MID,Crystal Palace,84.4,
